origin_id,origin_name,mode,num_trips,num_routes,min_headway_secs,max_headway_secs,mean_headway_secs,median_headway_secs,mode_headway_secs,min_travel_time_secs,max_travel_time_secs,mean_travel_time_secs,median_travel_time_secs,mode_travel_time_secs
217426,Edmondson Park Station,sydney_trains,62,1,414,1800,936,900,900,4182,4572,4284,4212,4212
275020,Emu Plains Station,sydney_trains,58,2,179,2009,998,1351,269,3270,4439,3719,3899,3959
223310,Engadine Station,sydney_trains,35,3,390,2160,1642,1800,1800,2190,2802,2555,2772,2772
212110,Epping Station,sydney_trains,108,2,119,1020,533,702,900,1500,2340,1978,2160,2160
204310,Erskineville Station,sydney_trains,70,2,360,1140,823,900,900,270,540,355,360,360
24411,Eungai Station,sydney_trains,1,1,,,,,,28758,28758,28758,28758,28758
216510,Fairfield Station,sydney_trains,64,1,450,1800,901,900,900,2754,3192,2868,2784,2784
251910,Fairy Meadow Station,sydney_trains,1,1,,,,,,5892,5892,5892,5892,5892
228330,Fassifern Station,sydney_trains,28,1,930,3660,1984,2310,960,7800,9270,8452,8583,7800
277610,Faulconbridge Station,sydney_trains,20,1,1446,3720,2936,3600,3600,5154,5610,5224,5184,5154
214020,Flemington Station,sydney_trains,100,3,168,1734,567,720,720,1374,1770,1571,1494,1404
28311,Geurie Station,sydney_trains,1,1,,,,,,23220,23220,23220,23220,23220
277310,Glenbrook Station,sydney_trains,25,1,414,3738,2250,1800,1800,3900,4356,4016,3984,3948
216710,Glenfield Station,sydney_trains,138,4,0,1050,418,300,60,1890,4320,3165,3144,2460
24221,Gloucester Station,sydney_trains,2,1,17280,17280,17280,17280,17280,15900,16878,16389,16389,15900
207210,Gordon Station,sydney_trains,164,3,179,900,351,361,361,2100,2280,2162,2160,2160
225040,Gosford Station,sydney_trains,37,2,360,3660,1593,1500,1500,4830,5790,5223,5208,5280
258010,Goulburn Station,sydney_trains,4,2,4440,18000,12000,13560,4440,9156,9540,9409,9471,9156
24601,Grafton Station,sydney_trains,1,1,,,,,,36840,36840,36840,36840,36840
214240,Granville Station,sydney_trains,128,4,6,1260,450,450,180,1422,2460,2036,2052,2052
201710,Green Square Station,sydney_trains,122,1,300,1044,466,480,540,240,240,240,240,240
216110,Guildford Station,sydney_trains,65,1,450,1800,894,900,900,2412,2820,2525,2442,2442
25811,Gunning Station,sydney_trains,1,1,,,,,,11496,11496,11496,11496,11496
222710,Gymea Station,sydney_trains,63,1,534,1800,902,900,900,2094,2952,2456,2406,2712
230310,Hamilton Station,sydney_trains,27,1,540,3660,1963,2535,600,9060,10890,9918,10242,9060
25871,Harden Station,sydney_trains,1,1,,,,,,16416,16416,16416,16416,16416
215010,Harris Park Station,sydney_trains,39,2,780,16056,1507,900,900,1554,2634,2415,2574,2574
208310,Hawkesbury River Station,sydney_trains,18,2,1140,3600,3194,3600,3600,3684,4404,3947,3864,3804
277910,Hazelbrook Station,sydney_trains,21,1,1404,3720,2790,3540,3600,5646,6432,6010,5988,5958
223320,Heathcote Station,sydney_trains,35,3,384,2160,1660,1800,1800,2370,2982,2741,2946,2946
250810,Helensburgh Station,sydney_trains,23,3,600,3636,2450,2295,3600,2916,3390,3095,3030,3018
26581,Henty Station,sydney_trains,1,1,,,,,,26136,26136,26136,26136,26136
217310,Holsworthy Station,sydney_trains,75,2,282,1140,767,900,900,1860,2802,2177,2118,2118
214010,Homebush Station,sydney_trains,102,3,115,960,563,455,900,1284,1871,1547,1596,1314
207720,Hornsby Station,sydney_trains,202,4,59,840,285,228,60,2148,3300,2910,3000,3000
222010,Hurstville Station,sydney_trains,171,4,59,960,335,241,240,1080,1740,1385,1278,1140
256510,Ingleburn Station,sydney_trains,74,2,282,1140,781,900,900,2562,3552,2938,2880,2880
202030,International Airport Station,sydney_trains,122,1,300,1032,471,480,540,780,792,780,780,780
222620,Jannali Station,sydney_trains,66,3,192,1800,868,900,900,1686,2442,1960,1896,2202
26631,Junee Station,sydney_trains,1,1,,,,,,21276,21276,21276,21276,21276
278020,Katoomba Station,sydney_trains,22,1,1050,3720,2571,2400,3600,6360,7770,7239,7274,7260
24401,Kempsey Station,sydney_trains,2,1,16620,16620,16620,16620,16620,26700,27018,26859,26859,26700
24391,Kendall Station,sydney_trains,2,1,17280,17280,17280,17280,17280,22500,23478,22989,22989,22500
253330,Kiama Station,sydney_trains,16,1,1201,10860,3768,3600,3600,7602,8279,7830,7757,7667
207110,Killara Station,sydney_trains,152,2,180,900,379,360,360,2004,2148,2035,2028,2028
201110,Kings Cross Station,sydney_trains,133,3,180,1200,431,420,600,420,420,420,420,420
220810,Kingsgrove Station,sydney_trains,64,1,840,1080,905,900,900,1512,1530,1528,1530,1530
274720,Kingswood Station,sydney_trains,70,1,426,1020,823,900,900,3390,4020,3571,3540,3540
223230,Kirrawee Station,sydney_trains,64,1,534,1800,899,900,900,1968,2826,2324,2280,2586
221710,Kogarah Station,sydney_trains,94,2,360,960,612,600,600,1026,1320,1198,1272,1272
225620,Koolewong Station,sydney_trains,18,2,1716,3660,3130,3600,3600,4692,5322,4904,4845,4812
228910,Kotara Station,sydney_trains,15,1,1350,7200,3604,3600,3600,9330,10350,9888,9840,9750
24741,Kyogle Station,sydney_trains,1,1,,,,,,43740,43740,43740,43740,43740
275030,Lapstone Station,sydney_trains,23,1,408,3738,2454,1803,1800,3702,4110,3779,3756,3702
278310,Lawson Station,sydney_trains,20,1,1464,3720,2936,3600,3600,6180,6654,6251,6210,6180
216310,Leightonfield Station,sydney_trains,35,1,900,2220,1655,1800,1800,2406,2826,2503,2436,2436
217933,Leppington Station,sydney_trains,61,1,419,1800,945,900,900,4529,4920,4653,4589,4589
256010,Leumeah Station,sydney_trains,73,2,282,1140,796,900,900,2982,3996,3399,3330,3330
278010,Leura Station,sydney_trains,20,1,1332,3714,2842,3594,3600,6654,7530,7089,7071,7038
204920,Lewisham Station,sydney_trains,80,3,180,1080,720,900,900,738,798,756,750,750
214110,Lidcombe Station,sydney_trains,222,5,0,786,259,192,30,1110,1986,1513,1590,1170
277820,Linden Station,sydney_trains,20,1,1464,3720,2936,3600,3600,5436,5910,5507,5466,5436
207010,Lindfield Station,sydney_trains,151,2,180,900,376,360,360,1878,2022,1908,1902,1902
225070,Lisarow Station,sydney_trains,17,1,1380,7200,3525,3600,3600,5538,6408,5953,5904,5808
279010,Lithgow Station,sydney_trains,2,2,34560,34560,34560,34560,34560,8880,9240,9060,9060,8880
217020,Liverpool Station,sydney_trains,96,2,181,1410,588,631,900,3360,3840,3478,3450,3390
223220,Loftus Station,sydney_trains,34,2,1200,2160,1693,1800,1800,2010,2532,2296,2502,2502
250510,Lysaghts Station,sydney_trains,1,1,,,,,,6492,6492,6492,6492,6492
256030,Macarthur Station,sydney_trains,68,3,300,1140,851,900,900,2730,4403,3807,3719,3719
201520,Macdonaldtown Station,sydney_trains,74,2,360,1080,779,900,900,282,324,288,282,282
24471,Macksville Station,sydney_trains,2,1,16740,16740,16740,16740,16740,29340,29778,29559,29559,29340
256410,Macquarie Fields Station,sydney_trains,74,2,282,1140,781,900,900,2400,3396,2773,2712,2712
